,start,finish,duration
821,39011.0,39054.0,43.0
822,39052.0,39095.0,43.0
823,39090.0,39133.0,43.0
824,39300.0,39357.0,57.0
825,39320.0,39391.0,71.0
826,39329.0,39392.0,63.0
827,39357.0,39418.0,61.0
828,39370.0,39438.0,68.0
829,39373.0,39459.0,86.0
830,39387.0,39482.0,95.0
831,39399.0,39477.0,78.0
832,39504.0,39551.0,47.0
833,39524.0,39585.0,61.0
834,39539.0,39603.0,64.0
835,39552.0,39620.0,68.0
836,39620.0,39668.0,48.0
837,39630.0,39690.0,60.0
838,39666.0,39709.0,43.0
839,39804.0,39847.0,43.0
840,39912.0,39952.0,40.0
841,40016.0,40060.0,44.0
842,40187.0,40231.0,44.0
843,40241.0,40288.0,47.0
844,40323.0,40363.0,40.0
845,40353.0,40404.0,51.0
846,40374.0,40429.0,55.0
847,40383.0,40443.0,60.0
848,40468.0,40525.0,57.0
849,40475.0,40538.0,63.0
850,40493.0,40569.0,76.0
851,40527.0,40587.0,60.0
852,40536.0,40596.0,60.0
853,40543.0,40627.0,84.0
854,40567.0,40651.0,84.0
855,40573.0,40650.0,77.0
856,40610.0,40667.0,57.0
857,40668.0,40711.0,43.0
858,40723.0,40778.0,55.0
859,40725.0,40788.0,63.0
860,40728.0,40795.0,67.0
861,40822.0,40865.0,43.0
862,40835.0,40886.0,51.0
863,40935.0,40988.0,53.0
864,40950.0,41016.0,66.0
865,40955.0,41020.0,65.0
866,40982.0,41040.0,58.0
867,40984.0,41063.0,79.0
868,41011.0,41074.0,63.0
869,41107.0,41155.0,48.0
870,41111.0,41171.0,60.0
871,41120.0,41193.0,73.0
872,41169.0,41219.0,50.0
873,41269.0,41312.0,43.0
